class_idx,wnid,label,method,target_k,cluster_id
0,n01440764,tench,clip_kmeans,100,14
1,n01443537,goldfish,clip_kmeans,100,86
2,n01484850,great white shark,clip_kmeans,100,63
3,n01491361,tiger shark,clip_kmeans,100,28
4,n01494475,hammerhead shark,clip_kmeans,100,94
5,n01496331,electric ray,clip_kmeans,100,23
6,n01498041,stingray,clip_kmeans,100,23
7,n01514668,rooster,clip_kmeans,100,35
8,n01514859,hen,clip_kmeans,100,35
9,n01518878,ostrich,clip_kmeans,100,94
10,n01530575,brambling,clip_kmeans,100,34
11,n01531178,goldfinch,clip_kmeans,100,4
12,n01532829,house finch,clip_kmeans,100,34
13,n01534433,junco,clip_kmeans,100,69
14,n01537544,indigo bunting,clip_kmeans,100,34
15,n01558993,American robin,clip_kmeans,100,69
16,n01560419,bulbul,clip_kmeans,100,4
17,n01580077,jay,clip_kmeans,100,4
18,n01582220,magpie,clip_kmeans,100,94
19,n01592084,chickadee,clip_kmeans,100,4
20,n01601694,American dipper,clip_kmeans,100,34
21,n01608432,kite (bird of prey),clip_kmeans,100,17
22,n01614925,bald eagle,clip_kmeans,100,17
23,n01616318,vulture,clip_kmeans,100,17
24,n01622779,great grey owl,clip_kmeans,100,70
25,n01629819,fire salamander,clip_kmeans,100,52
26,n01630670,smooth newt,clip_kmeans,100,6
27,n01631663,newt,clip_kmeans,100,61
28,n01632458,spotted salamander,clip_kmeans,100,48
29,n01632777,axolotl,clip_kmeans,100,44
30,n01641577,American bullfrog,clip_kmeans,100,48
31,n01644373,tree frog,clip_kmeans,100,48
32,n01644900,tailed frog,clip_kmeans,100,48
33,n01664065,loggerhead sea turtle,clip_kmeans,100,56
34,n01665541,leatherback sea turtle,clip_kmeans,100,56
35,n01667114,mud turtle,clip_kmeans,100,56
36,n01667778,terrapin,clip_kmeans,100,56
37,n01669191,box turtle,clip_kmeans,100,56
38,n01675722,banded gecko,clip_kmeans,100,12
39,n01677366,green iguana,clip_kmeans,100,6
40,n01682714,Carolina anole,clip_kmeans,100,6
41,n01685808,desert grassland whiptail lizard,clip_kmeans,100,12
42,n01687978,agama,clip_kmeans,100,56
43,n01688243,frilled-necked lizard,clip_kmeans,100,77
44,n01689811,alligator lizard,clip_kmeans,100,6
45,n01692333,Gila monster,clip_kmeans,100,12
46,n01693334,European green lizard,clip_kmeans,100,6
47,n01694178,chameleon,clip_kmeans,100,48
48,n01695060,Komodo dragon,clip_kmeans,100,77
49,n01697457,Nile crocodile,clip_kmeans,100,77
50,n01698640,American alligator,clip_kmeans,100,77
51,n01704323,triceratops,clip_kmeans,100,38
52,n01728572,worm snake,clip_kmeans,100,59
53,n01728920,ring-necked snake,clip_kmeans,100,6
54,n01729322,eastern hog-nosed snake,clip_kmeans,100,12
55,n01729977,smooth green snake,clip_kmeans,100,6
56,n01734418,kingsnake,clip_kmeans,100,59
57,n01735189,garter snake,clip_kmeans,100,6
58,n01737021,water snake,clip_kmeans,100,59
59,n01739381,vine snake,clip_kmeans,100,6
60,n01740131,night snake,clip_kmeans,100,59
61,n01742172,boa constrictor,clip_kmeans,100,59
62,n01744401,African rock python,clip_kmeans,100,12
63,n01748264,Indian cobra,clip_kmeans,100,12
64,n01749939,green mamba,clip_kmeans,100,6
65,n01751748,sea snake,clip_kmeans,100,59
66,n01753488,Saharan horned viper,clip_kmeans,100,12
67,n01755581,eastern diamondback rattlesnake,clip_kmeans,100,12
68,n01756291,sidewinder rattlesnake,clip_kmeans,100,12
69,n01768244,trilobite,clip_kmeans,100,44
70,n01770081,harvestman,clip_kmeans,100,74
71,n01770393,scorpion,clip_kmeans,100,44
72,n01773157,yellow garden spider,clip_kmeans,100,52
73,n01773549,barn spider,clip_kmeans,100,74
74,n01773797,European garden spider,clip_kmeans,100,74
75,n01774384,southern black widow,clip_kmeans,100,74
76,n01774750,tarantula,clip_kmeans,100,74
77,n01775062,wolf spider,clip_kmeans,100,74
78,n01776313,tick,clip_kmeans,100,4
79,n01784675,centipede,clip_kmeans,100,4
80,n01795545,black grouse,clip_kmeans,100,69
81,n01796340,ptarmigan,clip_kmeans,100,69
82,n01797886,ruffed grouse,clip_kmeans,100,69
83,n01798484,prairie grouse,clip_kmeans,100,69
84,n01806143,peafowl,clip_kmeans,100,69
85,n01806567,quail,clip_kmeans,100,69
86,n01807496,partridge,clip_kmeans,100,69
